"0","ADFC","510"
"1","CFDA","500"
"2","AB","460"
"3","BA","460"
"4","CD","400"
"5","DC","350"
"6","BG","520"
"7","GB","530"
"8","FDA","450"
"9","ADF","450"
"10","FDACB","750"
"11","BCADF","710"
"12","EDACB","800"
"13","BCADE","810"
"14","EGFCADE","920"
"15","EDACFGE","910"
"16","ABCDA","960"
"17","ADCBA","1000"
"18","BADCFGB","1180"
"19","BGFCDAB","1180"
"20","CDFC","460"
"21","CFDC","450"
"22","ABGEDA","1420"
"23","ADEGBA","1470"
"24","CFGB","640"
"25","BGFC","630"
"26","ABGEDFC","1480"
"27","CFDEGBA","1520"
"28","CDFGEDABG","1770"
"29","GBADEGFDC","1680"